gene1,gene2
522,39864
7324,818708
2541030,57510
56715,83803
9500,37734
7150,173986
854183,642273
5287,176310
374074,2539088
854170,175654
851751,79791
850686,126282
799,821781
856680,84261
851882,826712
851530,91010
31269,53405
140939,176376
183129,29988
855676,55143
9939,854785
5824,819838
3398,831841
30835,840320
1828,347733
852820,64880
31084,947572
3842,841372
55503,34734
29468,1389
2541319,178495
9683,851101
39406,43300
852773,854210
174506,6520
5701,4603
65059,176041
855549,839698
4350,841199
16728,6252
27043,823594
178005,140926
5094,21894
389119,90522
6760,828661
14628,10199
441178,191757
6175,69524
57787,51028
843934,20382
852437,180601
5217,14687
855731,830164
79897,117028
23533,229603
653509,817976
406982,440026
81609,43330
852618,831615
361712,30061
898,421202
829845,33779
177687,854118
5704,266859
1616,652
854191,852402
8637,160622
26994,26040
9093,2250
51122,6440
39243,2540240
112399,22839
5241,832053
2539497,6900
285527,57122
233908,350
10267,180672
29841,2539036
4233,3975
5521,32920
187297,51097
3638,1994
6272,22628
2542703,16179
832065,338657
5819,12346
84131,122769
826715,79651
415491,852284
7324,2539144
852888,851066
10142,652
851337,834666
817894,221692
23336,2703389
850683,18012
933569,10436
172591,39735
828522,64744
27063,851409
829557,24617
339,100271873
257160,31913
832577,7188
3355136,55236
171939,9882
56344,73708
1153,854935
853581,176011
7984,16201
854328,396544
26000,3948
174693,5740
9935,100338839
5692,7310
851256,814643
2542576,5786
819858,824890
854150,11153
22827,32078
853106,146705
4345,150368
37851,6550
10438,83851
831457,816194
3615,851166
5627,2539864
3300,399257
4502,219771
831275,18519
15504,6622
839235,18053
55226,3752
856389,187639
9256,852471
387332,22943
79447,9164965
84060,842839
820200,56742
41084,199221
51230,32207
824529,824844
4784,853651
851539,855883
23193,176651
827101,187968
8521,2543607
8291,51503
832539,38101
3351,852275
44279,832440
826609,79885
56406,39850
226419,514
2305,33950
79576,14367
853516,83941
6929,140688
7275,839419
25820,5927
16854,835301
855892,3643927
7593,55286
854703,115290
842,831170
181400,832283
1649,362339
854277,833963
208650,819561
856319,30819
832662,838306
7345,2539733
15903,177229
50848,40224
2992,855258
36139,3564807
40232,837840
853513,9781
6232,41718
79680,37916
286053,56929
380246,80153
820427,51496
843614,140886
4624,1489675
55840,850992
93986,221302
100338694,836236
55755,25453
5218,7156
5627,334
828388,817680
18571,64968
818730,825525
42752,180458
40327,12571
51147,5819
850877,26090
18005,830501
43156,2540633
817148,179791
379874,13206
23185,221143
843463,44052
493,12702
23821,835990
6517,84444
852819,11051
27342,154214
3642862,7054
23248,843983
10900,852015
855646,843917
8139,51435
3077490,945075
818568,171766
3315,17179
126626,410
2541107,3634838
31181,72183
6935,837593
850623,85021
852576,8354
2932,839453
78973,83732
10999,174861
851201,2697
2539675,21405
825171,172760
55233,179423
10465,13800
6386,43856
2543204,851145
2539517,3362
9587,71740
172839,178840
40657,816705
856117,814784
84148,57509
25303,828120
189689,852541
51566,819810
9525,8366
820793,70439
855646,3006
128866,837593
3191,396440
72236,2540024
3275,11009
5789,51274
84126,2542285
853723,58506
7409,831738
851544,2045
824128,55737
856368,103889
8409,821382
2541160,15930
855942,22377
3637956,283
7802,817546
31181,5740816
6165,9119
25948,37403
1489676,856455
7013,945033
175890,852575
180356,174907
40657,819190
57003,816995
175230,7138
852512,18759
828155,821901
2539817,10768
5930,610
176327,38372
204851,854248
28956,945564
1432,41848
81,857
2541849,828539
38890,6904
836281,946256
8912,31104
57648,129831
852854,11101
2542380,4920
1068,838406
1263,822403
255738,214384
55753,2098
42696,825171
854978,5128
24242,441178
84856,2539722
80204,837448
152789,834754
9681,57509
326197,397906
79589,172542
816798,945539
852767,53353
2073,855558
855155,36059
5245,20674
14102,23195
26272,79892
10494,668
2539442,853821
2539920,945206
59338,9031
389741,398599
855101,852847
852667,14056
5156,526
819282,818036
221937,246538
36645,23872
40177,822415
10011,29058
9267,67727
6601,107
856912,84191
843830,851126
157574,397774
9700,22955
27429,174350
850973,33468
8284,946977
2001,18951
79589,6311
3251,823744
8318,19645
2540817,2540470
64145,7306
37069,2542239
5700,83732
179941,5142
815036,2541145
7112,9240
850947,5654
10010,23336
8548,834197
2703434,56431
852452,11112
9632,853136
2703390,831151
35053,829919
135,3929
5546,8553
854537,379535
854835,190386
3070,844146
268903,856179
51659,100009225
4222,25595
83666,945293
818816,54900
93487,214133
3316,945354
283807,181143
854222,7410
84140,854668
2034,56246
10432,55035
939,6181
176327,64641
7629,839868
2561,2539149
83722,176013
26235,818476
10014,837357
10138,844050
23871,945069
5565,3562
852722,855958
511484,55173
177415,834883
11607,100507098
175837,9917
114712,406937
42447,16179
851919,3772633
20419,20909
41062,944786
81622,152485
154796,56943
53376,1329
2870,208922
851718,4961527
854235,823965
842760,2109
57534,444841
853030,8242
853708,855103
819185,2543087
6667,851955
838598,9462
10787,10229
2898,855221
853717,178022
855495,832593
852753,854805
851882,92565
189869,4076
850345,7349
1136,65254
51530,80270
856515,2541268
1902,56676
8664,22872
2984,175650
93679,19385
23028,57545
36612,79095
144717,54908
3663,835341
8106,840341
856613,4478
844055,172158
43426,20962
57545,148170
65080,854039
11186,9681
43791,23028
856382,823811
851371,57659
173293,838388
734455,815415
851787,54097
9064,38890
33738,22827
1268,177343
3783750,44843
819738,373126
6434,820020
854300,53428
2542097,9439
14199,851577
9223,295217
6133,285180
2543387,33672
832534,42821
1602,18759
10432,830730
149603,844802
817722,856724
856009,852908
174234,7204
855239,146909
828163,33782
6792,4115
140938,186547
138046,2542137
852933,856876
834666,176667
851499,948314
9871,57320
150,51503
11127,36821
829390,19744
850349,2540939
5820,3640873
51651,11640
117178,35878
829094,12931104
855207,2539999
2068,171484
4152,852403
10462,447488
854964,852512
348995,853534
183457,1850
282322,827102
104015,3581
852702,129531
824773,217342
843513,42778
42889,176349
53428,107829
1846,3841
2516,836241
5774,57826
2316,850567
853893,379187
6619,286053
56929,100049126
2540601,829654
44235,181679
2577,5015
23705,850879
81853,103983
2539185,388135
137735,44030
3564910,79624
851075,255738
2542808,836307
27043,852223
855298,155368
3655,55561
3762,9363
852683,4040
855477,58515
6572,854271
534,3621
172373,14105
851554,6820
853497,25874
9973,2542244
1475,300772
42777,55805
852057,3644838
58155,4160
259571,6328
26271,10284
36952,13429
856434,51109
842873,834602
38093,844775
114505,47408
851892,93679
852982,850344
11267,2540392
15163,56911
4215,850904
173920,54551
853509,2539236
22061,399279
839517,39366
851918,72828
2539562,10483
841743,31157
837180,32483
10197,22320
8560,32920
42140,183098
9128,28991
40388,3361402
34362,948582
1616,178409
2541852,38878
7375,829847
55269,5786
10612,2539971
172264,18764
854276,5366
180265,65136
9140,856624
855638,945427
831710,851005
818189,53578
88455,102724652
7324,8914
5449,17129
820314,947995
855177,176094
8471,116987
6950,717
853774,3077435
26097,64844
5195,2542389
10063,2948
3205,8847
817592,318093
837958,172941
2541900,5546
8867,268534
122769,30827
53615,827792
852394,825809
2963,22977
11221,852211
547,4625
5983,828134
24137,55715
852535,690188
85363,2541255
3217,10381
259571,15461
21410,850314
1947,3119
332,836723
816471,64515
4253,39091
79872,16513
854810,947189
4211,10483
851153,36002
851930,855067
834291,31149
853164,35085
171765,23409
92345,43284
389421,23293
4052,31738
818887,79754
7520,851246
36259,483
42930,54622
5087,6710
33607,825809
15433,4108
856767,32102
7036,43769
852871,851486
14106,49228
177657,855984
1069,823602
816473,66877
11614,854914
5591,821259
8431,100343882
43604,181716
10550,855600
855221,5810
831608,91107
26146,8079
44072,6910
178250,398872
856914,819774
856376,12568
23678,192897
199990,853765
55958,51207
2539214,79901
851098,54957
17187,181480
7581,86614
26258,57441
37894,180659
2540585,13368
843577,834353
3190,828889
852372,852007
35169,3336
853062,1996
852560,684755
843830,853901
55922,844754
850396,319934
834663,44274
3655,842284
854405,854395
178988,853956
38890,30062
35219,851509
5903,819127
7082,178402
25804,2540845
83743,10773
3434,5876
837202,9655
10566,176803
57325,11773
176200,54413
51639,29803
850983,35524
55216,853940
9467,3772520
5878,829072
4771,832453
2541372,23244
7141,4154
852264,65982
38113,23011
854535,5802965
56950,852424
852951,818881
11075,23708
8202,850397
5905,80308
26471,39332
7354403,832610
853083,176289
821400,831683
2540563,2540429
852786,826859
35169,29675
173151,100037071
296278,5042
852288,830372
827956,84193
79643,2541506
192670,853195
7436,10811
33262,836620
57258,1363
177440,17969
7518,1559
7975,854113
60673,9658997
20473,336
851678,39683
853119,822380
44786,7321
79947,856085
831738,822380
8087,11156
3728,10992
2539963,4113
60528,45329
853548,29365
854691,7126
824871,10810
5159,2049
855827,180416
819550,54401
174155,403373
9407016,398176
1678,832523
9070,3014
84250,834577
79228,305967
852007,856289
3783712,190775
3772382,851907
838774,40176
855982,2543517
57530,474928
5889,819702
197407,100132565
176946,176103
853238,80342
853744,10040
387521,9698
56718,20358
832283,3310
29896,854447
840012,5563
852088,827123
5518,5479
4100,116644
51112,892
853865,3772048
2541052,10444
856508,852057
150,8736
190976,7321
5339,6529
825234,810351
3241,8175
850945,398343
854829,281698
839568,11083
855892,174458
55030,177880
178961,2543069
855280,4216
9382,853768
856890,2540232
852577,7291
50070,31840
842043,22031
821971,856717
828241,837593
173168,836244
57634,83447
15078,841459
828016,19246
4676,175026
23871,175620
5864,3156
2538829,5130
41431,22826
854249,181029
856386,6760
511484,183082
852194,855728
27085,51792
852879,31624
856911,3756
826715,856927
2675,818766
7469,23644
55585,10645
853601,5110
2539562,40384
8721,855880
843931,116685
10769,55644
853670,852202
828713,58473
172366,283989
853447,192129
43415,854497
2539928,41783
829584,29647
40386,57783
7468,51271
38424,100008935
823749,947572
856924,5790
1063,784
853747,187757
93323,23210
2541089,6352
6464,167465
6855,15399
11798,10577
14463,20964
282991,116590
10016,1803
851213,57320
2539858,945069
26224,821309
853600,72194
54550,32341
64763,819026
57787,856449
172277,285527
1025,817375
4217,2538736
853820,13206
856768,60492
29993,826698
855328,850951
852295,39078
855785,64682
814702,11343
9337,35051
819156,10929
38367,179557
3685,827655
24414,171737
851206,2705
943,9658997
34867,828549
8877,835250
35526,42567
842993,850763
997,6820
172497,184117
26206,854974
77006,2540240
843830,4056
23118,146059
2541870,2543355
821323,9600
54305,80311
10487,8715
55139,843221
493576,852173
171912,66645
379,172682
179675,34719
1073,388389
819151,14813
855460,840116
853668,5110
818407,23243
4478,11065
55975,64344
22320,2342
79577,854343
6271,9140
843934,386676
855337,2993
831124,835035
4698,42199
3430,3641730
856505,31913
22589,9258
2539436,180356
1500,3756
7316,25833
17349,70160
155348,2543019
180577,399158
16922,101805492
5366,56339
2541706,851617
854660,2542426
822809,84328
10193,5134
855753,11161
5449,55609
84759,31394
5000,853972
854421,177229
32946,6736
180432,842612
186869,84669
855479,9266513
266553,6160
824923,24588
816538,183957
39717,3208
182284,92689
2540341,8569
8899,41833
43740572,181557
3639674,27019
836007,824147
851873,2541762
10178,26128
84612,839028
2543671,855925
838771,2539829
63916,51246
20505,29945
8291,8444
835005,855753
852260,835323
56478,42162
10600,820273
838515,3565222
24703,54920
853646,7033
79004,23221
11116,158297
211,24516
33569,112885
5778,80905
837906,2542193
852830,837327
852449,855440
853462,3684
8676,837960
529,3975
21412,57461
339390,39570
5708,12550
9844,36609
836313,36027
399396,3188
856145,59026
163590,5577
8861,19280
834284,192113
42273,1795
5586,396450
2542873,23409
4920,2540408
31603,176128
854124,79008
42034,831241
2543116,57449
5740544,823827
171968,1804
855271,832846
855228,2542160
398110,25852
6643,852493
23239,103968
856888,83541
2983,8495
9990,49816
3845,2539824
851040,850605
135458,172127
2703390,386680
852256,80318
855170,64750
843,188491
2541755,179440
2539312,844143
854338,22866
850607,5577
32948,842393
128710,389
854353,948355
2260,854544
8291,854829
54102,16601
51367,55800
852880,39987
41103,1147
39043,143162
3361456,44522
835219,855757
839677,143162
51503,178060
55759,2542160
55753,825896
1641,100008935
173509,824712
92181,842959
854940,854384
4863,172860
311607,6273
3791,821622
6625,295052
851421,815101
1982,79624
853419,130507
2539783,5204
5970,855840
7082,379753
6237,818609
54778,831225
54715,176451
181400,18005
843251,856787
6187,55671
84530,6582
828391,30968
3361562,57596
9569,177839
33672,176013
7775,93679
44271,831227
133746,51669
819204,852637
25454,35956
850795,850947
853452,945516
6317,51286
12288,70247
9311,10179
2255,172284
34974,176138
856848,3565977
856148,173748
80258,84277
855769,54541
850803,821115
7541,854384
32838,851717
2542898,850394
266820,84685
2540825,83444
2540237,25948
853161,4603
4681,36791
856311,36073
3646753,397904
856466,854023
853857,83737
8500,546
54825,14828
856320,24408
832756,176458
85358,171601
55236,8175
5789,825473
850504,23281
853909,4582
12287,947466
853546,829040
823703,33834
174838,9928
854447,852282
174576,176451
6941,31499
851904,2540725
5901,852834
178768,832395
55752,2948
11193,850621
43228,231600
10982,79888
178024,816032
2036,50791
15505,837210
850409,23254
180100,820816
832018,814700
285527,17131
816206,824882
855998,7443
317322,374407
6199,1489368
169792,285180
4624,43417
855203,852704
66894,55072
826364,51763
2617,23414
39570,176278
181329,4719
26749,1446
180431,2541592
3667,9145
43651,181767
10010,2539844
856002,817680
64834,178284
851019,2669
51735,172098
839655,40162
854481,40092
4234,26914
855647,56085
850320,38372
53563,851830
855758,177949
856247,63971
14388,945075
64105,820850
33916,422505
64462,387357
784,27165
6121,6440
2812,5603
825515,818425
2182,853149
853696,24242
856449,853787
544021,32569
6928,182629
134549,834159
226419,2538701
10907,13163
3383,34505
176201,850721
174000,177546
9935,181501
29925,6780
853823,856618
852639,23552
4988,83731
57606,126353
2540150,26051
839868,9789
3655,831899
4681,855440
98376,65220
81807,6052
6770,83746
3077435,1226198
29546,827990
854991,64424
32996,828043
135112,825107
81493,836874
186226,191722
35194,42596
29290,26002
23235,837479
838800,852061
26058,835341
296278,33161
5935,11103
6863,221481
5509,834627
282991,852081
51035,832338
835250,832082
851166,9698
100322881,827510
5165,838161
171024,11321
836163,10611
14,3640145
25776,9774
26046,190617
7020,67923
10693,10794
827124,3868
852528,814700
10749,2539537
9401,151246
179488,83899
2541612,494750
818883,159195
855625,23358
856159,4953
179538,854040
818030,183355
839929,175885
40973,821625
179424,12287
7019,850318
9495,10768
853019,180127
9882,399311
32090,855332
7345,850456
23512,833755
8975,2542126
185001,3291
79022,855316
4150,9859
2541978,8912
23186,850454
5116,827336
851100,37655
853908,79165
56292,10570
854328,1814
4361,199221
202559,854766
852107,856856
45318,397935
8031,1512
818781,39430
851205,819998
23066,246177
10040,23549
81609,54471
24918,2539375
835244,820165
171696,2542325
4800,225870
1819,819550
914,10006
852721,44279
22927,22878
850998,836519
856803,820235
22871,54467
854677,817340
5887,867
83931,59274
51176,35404
852700,83939
76936,3553
79892,172637
81620,11179
51176,3313
2539114,755
843468,25167
4703,48581
855830,4162
201176,834727
32341,10383
856719,9653057
188731,856886
83658,51286
767,37730
3550,827479
36790,56006
839300,636
76757,856052
851207,6571
179941,23381
2931,5641
5568,948369
57142,824655
5733,1756
1230,174154
310,22194
826746,81576
10270,190617
51147,851359
851931,5690
823975,3772474
171834,51199
851544,6125
851759,840181
2992,112936
11022,173992
31332,23560
58515,56896
23821,945206
51257,23061
84651,57449
853298,20909
1198,176458
850515,827457
2541052,9054
854503,850314
36854,16568
29890,80169
396198,42817
21853,37187
819702,852826
57624,850920
853392,203100
850457,40508
389677,818858
64770,74256
853076,8079
44811,311860
12125,39850
51592,2542965
853929,388633
6606,828717
851401,100421854
37542,851724
3565635,1620
8697,23325
856226,43740578
829824,6768
41575,174260
851845,8934
33139,850506
854992,947008
850569,965
851373,66233
1386,20404
851564,84717
5866,5204
23179,2541616
2539420,852015
853909,10602
668,7552
2138,4684
6632,80237
29128,948582
41585,832518
832820,71718
856693,1896
40173,175020
5365,855767
832437,171059
856719,172458
851882,854653
16909,51300
2543682,8940
104383,42267
835809,22837
42922,837270
178645,2543248
821265,34167
826715,171912
853301,11789
13665,821837
3040,447146
7094,9209
24176,129401
29974,10577
2538838,35055
855834,9144
43469,79176
2540744,2543187
57644,9582
853450,4729
850894,32898
37475,219541
51375,7529
43728,6299
828792,283643
832468,821323
9258,70530
904,39849
175785,14159
19766,6328
4254,23510
856218,816870
2908,855456
815843,179353
1809,79949
853219,41907
824318,85359
7048,831327
827049,853047
57617,825827
170840,829103
10286,73086
8878,142
1392,851862
3355143,177743
50873,26407
181250,10750
852194,10869
8773,1412
171849,7141
850820,42638
223082,10217
1104,826942
828525,9550
3196,38218
852683,27436
819239,9382
394,836651
851083,51778
51776,135112
3565222,4656
851478,12799
828475,4776
42161,854206
9744,10671
266837,34408
100322881,837210
853369,118924
42000,173334
851935,4998
856693,854878
9670,2539550
176143,4162
828151,832137
5438,820605
3426,842039
836693,27035
30062,2207
396,23326
853177,834443
853713,10208
83540,853631
177249,226823
11237,79095
851585,100338662
181501,2542339
9282,8464
11316,842154
57599,55124
176282,824599
5350,35648
7324,55835
79571,373961
38444,37142
21413,2543425
2255,2702
1877,576779
9781,855999
829441,31118
81929,447146
54925,1412
4144,22030
35644,22796
25796,129401
853400,15166
39203,851139
173509,1509
8535,252969
5430,3771903
851485,177045
6124,37415
1831,179118
41800,823602
2540956,12759
189280,852860
824019,34119
40828,844083
23215,322007
838782,842935
58190,6757
37655,828043
853737,303477
8289,843903
181576,10298
851811,51286
201292,84749
31622,31221
538,56915
856004,34286
398599,7054
2827706,79866
174874,8351
3557,1009
8682,852318
815008,36542
850625,172458
816388,734259
2736,856355
285231,175726
838518,8516
5298,33401
355,7090
36748,544021
945370,20588
57703,8546
6654,855971
817206,827472
5079,5880
825347,130271
3336,183737
38197,35221
2541314,373961
18570,854872
855560,179338
81822,374
844775,816194
6722,57783
6942,34761
833836,1489375
51298,255394
12933092,40508
7852,3934
43514,83722
4207,178135
856530,851522
814851,90522
9898,829301
653604,14702
850995,55502
990,853540
54542,65003
855101,36846
57511,42642
177602,968
10681,45969
38654,819864
829421,856448
172839,4940
37785,827827
58513,179274
10015,855606
853922,3818
801,3640264
826626,397935
7161,842070
856523,1447
855782,7419
5450,60684
828439,318572
27223,852856
851518,819212
832824,42379
2541178,9209
9322,22936
39864,34542
335,2483
187152,55165
130013,79026
42927,76757
1879,2539864
140939,60383
854876,35333
282318,2778
843244,180987
5930,39961
40800,852325
1241,397923
55851,29670
65962,854667
3556,856612
8161,856771
10238,653583
9083,855838
18626,831234
178614,11227
162989,178439
853165,2539260
852865,828241
22627,398696
850298,852878
2542387,829917
943,173319
7033,176220
25388,54778
36409,6775
853479,246618
6767,853968
853397,850944
5894,8361
6456,3639440
851744,37859
7222,9618
64857,55299
813336,850609
854874,852546
100506742,33753
23144,10725
116554,180534
10538,38113
3092,10345
57510,447433
5829,104015
22927,852712
84196,4956
850395,299331
6597,856159
2669,1656
11035,5076
84433,33300
818197,23213
35851,361970
3315,32316
826671,856589
854777,298584
898,851509
176143,84993
851531,25622
1901,79874
5283,853771
26580,80028
6744,39864
9162,29058
842669,100137657
51493,734455
850676,17268
836241,2540008
83797,7462
8576,16396
171285,15228
2539858,824507
854461,55207
14681,9202
2745,25861
115352,2153
54825,2067
177336,64778
854656,8555
837210,37429
20419,2541257
852084,80342
32102,30819
362849,11758
179535,140462
856458,48
11001,2541216
172268,856087
825807,2540429
10146,399694
2540643,829540
817546,39987
331,2542548
8241,856384
855252,80345
181058,816536
854485,3361204
2540470,388389
178320,25970
3437,176105
854941,2541201
2539480,830173
171867,228003
100009546,3346160
8683,3564857
147011,827011
284217,853669
214,42778
853106,25601
8733,19290
23235,10838
856618,7781
824570,79581
534,6208
177807,443777
774,29992
221895,187528
2919,177442
36122,172238
26447,9412
820135,39567
34119,55213
5360,140685
852097,831442
124359,816782
394328,821115
176546,18018
6642,9258
856426,217
855241,7546
6135,397797
79618,817979
2541746,854181
2286,830082
851660,172941
815101,57216
852113,173435
6618,1544
84324,855939
838048,51734
122786,225870
855013,818030
116640,57511
875,150290
80124,178210
15519,43466
10915,84759
56672,57221
10435,1068
100316904,180690
578,2540241
5906,56436
5293,3624
835777,229
30008,817014
3644234,851021
850951,34982
2541798,81930
6647,348235
6050,172361
10019,8562
2541612,25861
853630,3738
2872,81929
3637327,77134
43096,820723
37492,51389
856384,854279
27252,850522
55624,176015
5664,9506
5612,258010
4547,23593
122416,179261
850875,2542502
29789,23381
2538951,1123
818340,380545
9266,27249
7718,29670
11128,814691
818395,8270
7745,45343
820454,34543
5729,43768
51170,44039
7278,854869
4801,59004
834224,2541616
841576,2255
842728,37859
5588,856566
23097,64801
175010,818562
850347,173767
45906,11190
194590,4336589
851274,36914
9208,3637410
852918,54997
2932,9175
3634781,853934
1147,22284
172374,856320
14109,10422
34761,2302
836690,2542102
852683,856297
16796,834351
5558,9501
23303,5593
10081,403728
851665,92345
8826,10236
853167,842807
1291,67903
19222,31987
51608,43153
844005,10428
3996,178541
825286,172711
23885,22196
10590,850763
3356,35154
225896,33161
832052,3635627
64786,850678
41585,851466
79188,852470
2561,188246
54820,852023
7529,175721
23569,1758
38912,5308
854814,173165
33215,181428
826571,189728
842428,11737
54221,4761
852583,171990
35194,855256
853715,43087
179202,84446
2785,83548
37528,64708
3912,10406
708,3077458
6432,43841
132864,831225
375748,439996
548593,738
9112,3346208
834143,14580
2146,64802
839506,189
55658,414673
96764,2541314
843714,179948
855954,180949
856600,32565
57703,855268
851870,14389
853925,11152
58155,839557
816473,2542263
3660,84456
4255,5223
176100,77113
7975,859
854217,38001
143384,22893
6284,830424
850872,446588
1394,32221
55367,80143
381,110862
180343,30819
84552,395134
851757,855168
854817,1052
3008,116743
829839,856210
855041,179424
10519,135458
829547,782
5694,40904
843303,834044
395733,820165
43724,838268
22926,186671
177942,35878
5603,30948
34359,177687
172591,837178
1280,8701
3455,8379
31629,37237
10458,929
824853,10226
24205,8030
1387,820391
3866,8312
1281,840098
180127,855488
826690,179533
22806,42750
7737,170930
12385,834385
176168,43751
843577,44254
6198,2540558
36655,397928
172886,8443
172308,4753
837381,832773
10278,850384
2539864,856724
9066,825171
6421,856511
585,22778
5599,2541916
55851,831330
7322,51004
33849,172562
827072,18627
853019,29126
1421,830465
851266,827017
9465,18014
826479,830374
818207,26279
850349,7008
28985,838438
855060,2077
6635,3855
9757,844268
3656,11319
11218,38001
856457,2540931
85363,853803
79004,839534
50855,127833
178084,304469
852896,37723
816795,9816
851406,948355
855429,43153
51684,7043
856065,3077539
856060,26286
10572,4349237
855805,228359
180727,22142
833930,2542795
55607,32739
4059,25766
143,830996
816622,6252
851539,175206
854303,257644
2540589,131450
850611,28969
38168,2730
55611,2745
117149,1072
53635,26502
42844,180431
41957,171990
1937,80854
855281,81790
2553,362827
56006,226419
852497,55609
179749,80223
22978,854954
40966,314850
10949,4130
850962,173191
854700,13206
55084,177807
831303,77706
9896,328572
21380,10881
830878,392862
7375,837428
38887,855073
3910,42428
856648,84651
3361204,819082
5423,856459
208,38743
10587,55814
43521,83540
852471,26519
825835,42821
178411,818570
831457,3131
153733,5287
42854,830500
844383,6529
32996,33349
821675,836313
3604,2543116
850840,1069
5660,37723
850839,221481
3221,816206
7089,946227
10127,14463
23595,22871
851019,181316
32932,8721
8775,5211
71242,827998
7332,2541368
41273,185718
19697,7262
833534,173726
2539750,8079
852122,853375
852015,146691
10204,25508
81772,100049755
9759,70247
43017,54496
5361,838384
55250,38491
2541798,474
854929,285237
5013,83824
17475,80223
24596,2203
441150,9164982
856547,3985
9846,818447
834975,4158
56006,25238
837373,25827
2058,177355
54476,90427
50488,856310
79058,53944
854506,28970
853418,18596
850732,237422
5443,60383
10204,9846
22890,821429
8412,64714
855055,92715
13198,834127
852432,173435
11144,41225
851928,855284
851647,174437
22820,32428
837040,7035
829037,10557
3475,172458
